1024	31406	319520514
1024	31510	260380492
1024	32273	238751770
1024	3071	21527708
1024	3049	21862841
1024	3090	21747240
1024	5980	45305079
1024	6030	45524612
1024	6153	47175120
128	1357	9713779
128	1224	10271364
128	1373	10234167
128	375	3281687
128	363	3414793
128	365	2870701
128	754	6289870
128	676	6439750
128	714	6728936
16	30	328205
16	38	378165
16	47	741744
16	45	388741
16	62	506530
16	38	300126
16	86	604627
16	30	293561
16	58	513824
256	3957	28913783
256	3995	33783983
256	3773	29642034
256	740	5056184
256	767	5644035
256	752	6215113
256	1492	11248321
256	1508	10424526
256	1499	10323512
32	83	638177
32	85	839476
32	79	680843
32	145	1210712
32	186	1465619
32	147	1103135
32	110	806655
32	168	1266143
32	140	1029471
512	10741	82716460
512	11213	87224541
512	11587	84838853
512	1521	12185894
512	1535	10623638
512	1540	11787307
512	3099	25748061
512	3004	21452585
512	2977	20549291
64	166	1566997
64	178	1406906
64	169	1412377
64	347	2516605
64	364	2464456
64	373	2595373
64	379	2566200
64	428	2864502
64	385	2589903
